,yield,block,irrigation,density,fertilizer
1,90,A,control,low,N
2,95,A,control,low,P
3,107,A,control,low,NP
4,92,A,control,medium,N
5,89,A,control,medium,P
6,92,A,control,medium,NP
7,81,A,control,high,N
8,92,A,control,high,P
9,93,A,control,high,NP
10,80,A,irrigated,low,N
11,87,A,irrigated,low,P
12,100,A,irrigated,low,NP
13,121,A,irrigated,medium,N
14,110,A,irrigated,medium,P
15,119,A,irrigated,medium,NP
16,78,A,irrigated,high,N
17,98,A,irrigated,high,P
18,122,A,irrigated,high,NP
19,83,B,control,low,N
20,80,B,control,low,P
21,95,B,control,low,NP
22,98,B,control,medium,N
23,98,B,control,medium,P
24,106,B,control,medium,NP
25,74,B,control,high,N
26,81,B,control,high,P
27,74,B,control,high,NP
28,102,B,irrigated,low,N
29,109,B,irrigated,low,P
30,105,B,irrigated,low,NP
31,99,B,irrigated,medium,N
32,94,B,irrigated,medium,P
33,123,B,irrigated,medium,NP
34,136,B,irrigated,high,N
35,133,B,irrigated,high,P
36,132,B,irrigated,high,NP
37,85,C,control,low,N
38,88,C,control,low,P
39,88,C,control,low,NP
40,112,C,control,medium,N
41,104,C,control,medium,P
42,91,C,control,medium,NP
43,82,C,control,high,N
44,78,C,control,high,P
45,94,C,control,high,NP
46,60,C,irrigated,low,N
47,104,C,irrigated,low,P
48,114,C,irrigated,low,NP
49,90,C,irrigated,medium,N
50,118,C,irrigated,medium,P
51,113,C,irrigated,medium,NP
52,119,C,irrigated,high,N
53,122,C,irrigated,high,P
54,136,C,irrigated,high,NP
55,86,D,control,low,N
56,78,D,control,low,P
57,89,D,control,low,NP
58,79,D,control,medium,N
59,86,D,control,medium,P
60,87,D,control,medium,NP
61,85,D,control,high,N
62,89,D,control,high,P
63,83,D,control,high,NP
64,73,D,irrigated,low,N
65,114,D,irrigated,low,P
66,114,D,irrigated,low,NP
67,109,D,irrigated,medium,N
68,131,D,irrigated,medium,P
69,126,D,irrigated,medium,NP
70,116,D,irrigated,high,N
71,136,D,irrigated,high,P
72,133,D,irrigated,high,NP
