LOCATION,Country,TIME,Business enterprise,Government,Higher Education,Private non-profit,Rest of the world,Not specified source,Basic research,Applied research,Experimental development,Not specified activities,Medical and health sciences
ALB,Albania,2007,293.09402,15068.61246,1282.00667,,2273.15668,,,,,,
ALB,Albania,2008,1218.54722,30201.12059,3202.33312,,2753.51278,,10278.21016,19958.36723,7138.93631,,
ARE,United Arab Emirates,2014,3157091.093,1092839.224,,,,,,,,,
ARG,Argentina,1996,,,,,,,447599.434,790068.7518,355212.3622,,
ARG,Argentina,1997,479053.7055,1153081.123,29224.56816,38536.31782,60454.74394,,454170.4183,876654.5283,429525.5119,,
ARG,Argentina,1998,489265.3229,1200106.992,41398.24021,27107.74448,53626.19016,,547074.3559,845972.5967,418457.5371,,266952.3532
ARG,Argentina,1999,504675.0963,1321419.817,53179.83352,29104.14958,50284.65633,,491570.6101,885314.707,581778.236,,283117.8529
ARG,Argentina,2000,447927.9653,1360442.374,48124.49214,36093.3691,31157.52376,,538648.8028,861838.0844,523258.837,,305559.676
ARG,Argentina,2001,378034.1964,1352788.194,43067.18693,23926.21496,22012.11776,,531800.0045,813650.8168,474377.0886,,259679.1864
ARG,Argentina,2002,339682.5192,1047161.533,50381.36509,52872.33549,17712.18897,45.89936,395230.663,711688.1085,400937.0693,,210764.8765
ARG,Argentina,2003,461029.3769,1157430.282,58401.16905,64159.75654,24337.44651,5.72538,452305.0425,828004.4967,485054.2177,,266001.168
ARG,Argentina,2004,598096.4677,1166019.278,110340.8565,53071.04546,19446.12966,24.85065,475243.8066,857844.3947,613910.4266,,293337.0578
ARG,Argentina,2005,704581.1007,1354243.432,129907.2563,67492.2333,15440.16911,12.04887,607726.6873,977627.131,686322.4218,,305948.7258
ARG,Argentina,2006,799003.5027,1710596.207,115654.9055,72729.17482,21613.67209,,763443.3579,1161757.979,794360.8395,,384788.2226
ARG,Argentina,2007,906512.9775,1998074.651,137509.5958,34395.03243,20046.63568,,907936.4117,1323035.935,865541.0338,,473852.7636
ARG,Argentina,2008,891665.414,2271198.588,146619.9165,32402.2533,20066.0546,19.2656,942861.5708,1485500.189,933590.467,19.2656,446340.4488
ARG,Argentina,2009,,,,,,,1078710.506,1337553.822,456892.5264,1098178.441,256359.4683
ARG,Argentina,2010,,,,,,,1294154.225,1390478.666,423364.1037,1150641.881,255025.2106
ARG,Argentina,2011,,,,,,,1380797.538,1645877.437,343907.1525,1284882.667,278674.8081
ARG,Argentina,2012,,,,,,,1676178.085,1836907.071,419045.0704,1333834.648,292843.7429
ARG,Argentina,2013,,,,,,,1685000.315,1977035.399,385029.1446,1293642.882,303387.9296
ARG,Argentina,2014,,,,,,,1718065.761,1953560.992,349604.2556,1008879.146,315794.4635
ARM,Armenia,1997,,7339.10784,,,216.8487,3239.80575,,,,,
ARM,Armenia,1998,,9957.24895,,,530.45005,3670.53073,,,,,
ARM,Armenia,1999,,8464.0726,,,924.1881,4671.50804,,,,,
ARM,Armenia,2000,,10481.49762,,,,3114.57312,,,,,
ARM,Armenia,2001,,12185.66235,,,323.45915,9806.84747,,,,,
ARM,Armenia,2002,,12781.08534,,,2593.47814,7768.32793,,,,,
ARM,Armenia,2003,,12441.05868,,,2986.43143,18797.06651,,,,,
ARM,Armenia,2004,,13294.57069,,,2351.88222,15396.61694,,,,,
ARM,Armenia,2005,,28380.71539,,,1732.6266,6516.52721,,,,,1144.307
ARM,Armenia,2006,,25637.42895,,,4047.94935,10226.36549,,,,,1223.56624
ARM,Armenia,2007,,20554.08526,,,4614.39583,15723.14932,,,,,957.20569
ARM,Armenia,2008,,26475.60188,,,843.30396,20062.94101,,,,,1538.65986
ARM,Armenia,2009,,29532.64741,,,2079.73934,21529.98255,,,,,1709.3748
ARM,Armenia,2010,,38552.22753,,,5314.611,1745.87047,,,,,1437.32595
ARM,Armenia,2011,,32422.51684,,,1827.94559,20298.74787,,,,,1137.92286
ARM,Armenia,2013,,34088.74163,,,1435.9838,15884.71358,,,,,1434.96789
ARM,Armenia,2014,,41871.52013,,,3011.03796,14053.02661,,,,,1719.29358
ARM,Armenia,2015,,46994.92719,,,1448.45995,15219.6841,,,,,1776.62271
AUS,Australia,1996,3318123.81,3070878.041,12295.38852,171743.1226,137880.2381,,1728998.463,2338620.45,2643310.084,,748763.1338
AUS,Australia,1998,3267470.77,3215745.437,12315.55532,194816.6907,174034.1911,,1836942.048,2206716.596,2820800.973,,871248.5664
AUS,Australia,2000,3817821.649,3624698.101,11238.78129,234103.0497,276535.1831,,2055703.07,2760917.482,3147699.758,,1025710.815
AUS,Australia,2002,5128508.257,4070587.883,17209.25708,303481.5075,353388.3531,,2330582.346,3416486.468,4138227.746,,1243032.121
AUS,Australia,2004,6380693.284,4705580.198,43317.47465,219733.7439,335051.8859,,2643552.794,4544261.386,4496566.797,,1656381.205
AUS,Australia,2006,9006479.697,5830872.644,22149.76661,281608.2867,368782.9309,,3345683.075,6008711.767,6155498.484,,2225446.165
AUS,Australia,2008,11844783.86,6619145.911,23122.59097,337846.7459,308030.7733,,3840378.399,7406801.422,7885817.671,,2901952.777
AUT,Austria,1996,1380545.133,1333313.368,,11968.37525,360441.6855,,,,,,
AUT,Austria,1997,1450886.081,1374029.097,,12303.55344,512962.7107,,,,,,
AUT,Austria,1998,1535568.215,1390658.188,,13207.49406,741165.5938,,641809.5133,1398797.035,1559318.97,80672.88935,
AUT,Austria,1999,1672518.633,1585691.618,,13648.57464,799767.5088,,,,,,
AUT,Austria,2000,1854693.881,1685676.943,,14567.38821,880980.1441,,,,,,
AUT,Austria,2001,1992974.674,1826193.779,,14771.86698,937687.7032,,,,,,
AUT,Austria,2002,2323441.843,1749540.174,,19438.82898,1113545.611,,910143.0656,1919818.581,2279859.791,96145.01938,
AUT,Austria,2003,2558408.916,1953171.653,,23616.60135,1135013.861,,,,,,
AUT,Austria,2004,2818703.616,1947675.968,24620.32797,28694.30167,1157531.158,,1044268.313,2171216.203,2649968.46,111772.3949,
AUT,Austria,2005,3119206.657,2455158.463,,29537.19021,1233089.817,,,,,,
AUT,Austria,2006,3552906.597,2368657.473,38661.26157,31296.2709,1352069.101,,1237155.721,2549388.556,3424051.221,132995.2047,
AUT,Austria,2007,3846967.884,2551501.104,49098.18717,37172.17263,1415112.266,,1359707.141,2742280.528,3647793.779,150070.1666,
AUT,Austria,2008,4073586.416,3269255.077,,39359.84944,1451890.396,,,,,,
AUT,Austria,2009,4177083.815,3098978.636,59479.26716,50052.39131,1490366.051,,1657769.044,3028300.801,4012914.488,176975.8288,
AUT,Austria,2010,4329297.089,3670721.944,,52020.32278,1543634.38,,,,,,
AUT,Austria,2011,4595890.658,3559638.622,66317.92671,47194.16292,1685966.845,,1896298.176,3496768.001,4380729.972,181212.0658,
AUT,Austria,2012,5215191.336,4309246.75,,52061.82526,1838559.18,,,,,,
AUT,Austria,2013,5858828.02,4035264.114,70720.3508,57100.91642,1996844.4,,2268212.195,4273167.228,5278903.313,198475.0654,
AUT,Austria,2014,6001577.376,4603951.491,,58642.17331,2040098.567,,,,,,
AUT,Austria,2015,6172981.57,4801206.492,,60035.65206,2086135.269,,,,,,
AZE,Azerbaijan,2001,28101.77381,74816.75453,26.46741,5773.50483,,,,,,,
AZE,Azerbaijan,2002,23054.92321,79783.95313,34.35287,5354.30972,49.75244,,,,,,
AZE,Azerbaijan,2003,32743.63038,94517.67833,36.47109,5042.12815,,,,,,,
AZE,Azerbaijan,2004,31580.15258,102310.7423,35.13771,1788.77976,1843.37836,,,,,,
AZE,Azerbaijan,2005,24786.58694,102548.7863,27.86521,1740.61491,3218.43204,,,,,,7501.98781
AZE,Azerbaijan,2006,26175.15045,114136.772,,2791.83215,57.39384,,,,,,8967.67631
AZE,Azerbaijan,2007,37816.65383,139262.3592,,4820.42845,187.25975,,53906.64598,94927.85782,25053.16506,8199.03232,10655.3064
AZE,Azerbaijan,2008,50367.87904,146680.2642,,2918.98625,224.46787,,53701.45293,97722.1639,40231.27145,8536.70906,12110.71968
AZE,Azerbaijan,2009,82456.62188,247557.4773,,2722.80271,245.28067,,113794.1301,160937.45,47375.11951,10875.48293,16318.46703
AZE,Azerbaijan,2010,29703.65186,272642.8977,963.30945,5766.5283,69.64084,,143753.0264,109128.5326,51009.08464,5255.38451,12365.74783
AZE,Azerbaijan,2011,28799.60586,273344.5866,317.15305,2232.5577,,,166505.6294,94166.70881,43551.24612,470.31883,22977.64145
AZE,Azerbaijan,2012,31478.44357,289434.5387,557.14059,5014.26535,278.5703,,,,,,
AZE,Azerbaijan,2013,104237.4189,233133.152,2802.08115,1120.83246,560.41623,,173729.0315,75656.19115,11208.32462,81260.35346,21856.233
AZE,Azerbaijan,2014,107603.9602,238265.912,2846.66561,3131.33218,569.33312,,178485.9341,75436.63879,14517.99464,83976.63564,22488.65836
AZE,Azerbaijan,2015,122788.3483,250942.7683,1578.2564,6313.02562,,,196966.3993,77018.91254,19886.0307,87751.05609,31565.12809
BDI,Burundi,2007,,,,,,,,10510.24385,,714.79684,
BDI,Burundi,2008,,5530.09786,19.5532,,3687.0151,,,8594.00516,,642.661,
BDI,Burundi,2009,,,,,,,,8416.39767,,598.20547,
BDI,Burundi,2010,,,,,,,,8590.57709,,433.97037,
BEL,Belgium,1996,2719046.332,925700.2146,98734.75237,8847.36598,269194.8649,,,,,,
BEL,Belgium,1997,2951852.139,969520.2882,140448.8572,9129.2619,298250.2069,,,,,,
BEL,Belgium,1998,2998476.349,1085387.469,124973.5737,7430.33593,349570.6656,,,,,,
BEL,Belgium,1999,3281963.348,1165214.292,138956.6521,8998.78456,362761.2879,,,,,,
BEL,Belgium,2000,3439783.409,1263675.748,107783.8793,26912.93931,673164.3355,,,,,,
BEL,Belgium,2001,3824938.526,1328051.826,131406.7532,22218.2781,729443.4029,,,,,,
BEL,Belgium,2002,3536142.219,1380519.867,152759.6473,31699.3015,854148.6316,,,,,,
BEL,Belgium,2003,3559736.46,1390036.437,160789.2049,29879.06094,762228.4344,,,,,,
BEL,Belgium,2004,3658276.572,1484767.723,159034.0211,32925.98378,746670.8235,,,,,,
BEL,Belgium,2005,3715283.229,1534695.466,163458.1313,39555.36518,772201.4649,,,,,,
BEL,Belgium,2006,4135598.104,1516747.402,170337.9434,50554.89309,902451.5448,,,,,,
BEL,Belgium,2007,4433246.342,1599804.129,200035.4477,50092.65266,939218.491,,,,,,
BEL,Belgium,2008,4792934.921,1826368.607,229525.6881,43774.65569,965724.2716,,,,,,
BEL,Belgium,2009,4784545.86,2064148.059,261345.6889,60772.58921,984845.7189,,,,,,
BEL,Belgium,2010,5163318.464,2279572.468,279273.0757,50417.65217,1194215.742,,,,,,
BEL,Belgium,2011,5907963.712,2300005.65,281881.1147,59020.73659,1273092.915,,,,,,
BEL,Belgium,2012,6829685.32,2705410.412,107930.9166,46203.97817,1444552.429,,,,,,
BEL,Belgium,2013,7267497.933,2853983.795,121047.1818,48499.07752,1560490.069,,2361685.195,4583183.311,4901071.218,,
BFA,Burkina Faso,2001,,20560.75548,,,,,,,,,
BFA,Burkina Faso,2002,,38715.10984,,,,,,,,,
BFA,Burkina Faso,2003,,34086.83811,,,,,,,,,
BFA,Burkina Faso,2004,,32649.81549,,,,,,,,,
BFA,Burkina Faso,2005,,25814.83904,,,,,,,,,
BFA,Burkina Faso,2007,,14200.65393,,,4815.75532,625.26169,,,,,
BFA,Burkina Faso,2008,5869.35867,3678.08724,7825.64121,421.09497,15525.97089,2370.21583,,,,,
BFA,Burkina Faso,2009,4732.60147,3589.46054,4847.48749,503.49173,23641.08371,2348.08955,,,,,
BGR,Bulgaria,1996,144429.4034,84089.19449,9180.49993,967.74501,601.57122,,43103.8857,158762.4916,30000.09521,,
BGR,Bulgaria,1997,51761.23726,150626.2795,5339.98705,1929.72276,12652.35654,,39502.85534,124719.3122,45914.35295,,
BGR,Bulgaria,1998,58026.49342,171177.3853,6576.41295,487.21302,9453.47326,,72741.09704,119486.5869,42491.52321,,
BGR,Bulgaria,1999,58438.85862,178439.4083,8092.70606,628.37482,10415.78875,,80068.28172,130045.0261,45899.92463,,
BGR,Bulgaria,2000,63258.3992,179625.5152,2287.59375,684.22731,13787.08701,,72209.28557,136729.8698,50703.6671,,17679.91157
BGR,Bulgaria,2001,67691.5422,165493.6646,1707.9796,719.62393,14251.80024,,72490.83864,127665.6137,49708.15823,,18080.77669
BGR,Bulgaria,2002,70402.51923,197890.0986,682.44142,478.24635,14139.61294,,82082.83542,140389.4836,61120.5995,,23514.67428
BGR,Bulgaria,2003,82625.21375,206643.3223,1088.34767,517.41119,17806.08148,,115031.2115,144894.7578,48752.62288,,18758.83173
BGR,Bulgaria,2004,94352.98561,219820.9699,1018.32785,721.9617,18266.14804,,101980.9676,169219.8974,62979.52806,,19375.79801
BGR,Bulgaria,2005,97158.30345,223122.9416,1232.18623,948.86722,26476.07776,,107270.6128,174043.3714,67624.3921,,15014.23114
BGR,Bulgaria,2006,117287.5854,237060.1595,2580.37862,1424.38193,24882.22237,,100290.3922,200210.5421,82733.79357,,19516.13426
BGR,Bulgaria,2007,141885.7052,235490.8684,4308.37203,2116.15307,31590.16424,,104528.2251,202473.7081,108389.3297,,17426.69547
