Date,Location,Inside.Outside,Mortality.Seizure,State.Code,State,Sex,Age
01/03/19,Pench,Inside Tiger Reserve,Mortality,MH,Maharashtra,NA,NA
01/04/19,"Maharashtra ,East Melgaht",Outside Tiger Reserve,Mortality,MH,Maharashtra,NA,2.3
01/05/19,Kanha,Inside Tiger Reserve,Mortality,MP,Madhya Pradesh,NA,7.8
01/11/19,"Maharashtra,Amravati",Outside Tiger Reserve,Mortality,MH,Maharashtra,NA,4
01/19/2019,Periyar,Inside Tiger Reserve,Mortality,KR,Kerala,Male,10.4
01/19/2019,Kanha,Inside Tiger Reserve,Mortality,MP,Madhya Pradesh,Male,2
01/20/2019,Jim Corbett,Inside Tiger Reserve,Mortality,UT,Uttarakhand,Male,NA
01/24/2019,"MP,Compt No. 81, Kuthi Tola Beat",Outside Tiger Reserve,Mortality,MP,Madhya Pradesh,NA,6
01/31/2019,Ranthambore,Inside Tiger Reserve,Mortality,RJ,Rajasthan,NA,4
02/06/19,"Sathyamangalam,Patra Mangalam Beat",Inside Tiger Reserve,Mortality,TN,Tamil Nadu,NA,NA
02/12/19,"Gujarat,Mahisagar",Outside Tiger Reserve,Mortality,GJ,Gujarat,NA,NA
02/13/2019,"Kaziranga,Bagori Range",Inside Tiger Reserve,Mortality,AS,Assam,Male,4
02/21/2019,"MP,Compt No. 783, Dindori Division",Outside Tiger Reserve,Mortality,MP,Madhya Pradesh,Male,5
02/22/2019,Bhadra,Inside Tiger Reserve,Mortality,KA,Karnataka,Male,NA
02/26/2019,"Kanha,Kanhari Beat",Inside Tiger Reserve,Mortality,MP,Madhya Pradesh,Male,2
02/26/2019,"Kanha,Kanhari Beat",Inside Tiger Reserve,Mortality,MP,Madhya Pradesh,Male,1
02/28/2019,"MP,Bahiyar  Range, Balaghat",Outside Tiger Reserve,Mortality,MP,Madhya Pradesh,NA,NA
02/28/2019,Pench,Inside Tiger Reserve,Mortality,MP,Madhya Pradesh,Male,1
03/03/19,Melghat,Inside Tiger Reserve,Mortality,MH,Maharashtra,Female,1.5
03/04/19,"Jim Corbett,Sonanadi Range, Compt No. 6",Inside Tiger Reserve,Mortality,UT,Uttarakhand,NA,NA
03/06/19,"Pench,Khursapar",Inside Tiger Reserve,Mortality,MH,Maharashtra,Female,7
03/06/19,"Pench,Khawasa",Inside Tiger Reserve,Mortality,MP,Madhya Pradesh,Male,NA
03/07/19,"MP,Godaval Range,North Shahdol Division",Outside Tiger Reserve,Mortality,MP,Madhya Pradesh,NA,NA
03/16/2019,"Maharashtra,Tipeshwar Wildlife Sanctuary",Outside tiger Reserve,Mortality,MH,Maharashtra,Female,6
03/17/2019,"Karnataka,Virajpet Division",Outside Tiger Reserve,Mortality,KA,Karnataka,Male,NA
03/17/2019,Nagarhole,Inside Tiger Reserve,Mortality,KA,Karnataka,Male,NA
03/22/2019,Kanha,Inside Tiger Reserve,Mortality,MP,Madhya Pradesh,NA,NA
03/24/2019,Nagarhole,Inside Tiger Reserve,Mortality,KA,Karnataka,NA,NA
03/27/2019,"UP,South Kheri, Mohammadi Range",Outside Tiger Reserve,Mortality,UP,Uttar Pradesh,Male,NA
